Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
BTC/USDT:USDT,5.92395,7.3365
ETH/USDT:USDT,1.768425,3.6135
MYX/USDT:USDT,-362.13839999999993,-72.708
SOL/USDT:USDT,5.748749999999999,10.950000000000001
SOMI/USDT:USDT,-266.2821,-201.261
BTC/USD:BTC,4.396425000000001,10.950000000000001
WLFI/USDT:USDT,-31.700249999999997,-25.404
ETH/USD:ETH,4.380000000000001,10.950000000000001
SUI/USDT:USDT,8.639549999999998,10.950000000000001
XRP/USDT:USDT,2.1462000000000003,2.1900000000000004
LTC/USD:LTC,7.922325,10.950000000000001
XRP/USD:XRP,2.162625,2.1900000000000004
ADA/USD:ADA,9.805725,10.950000000000001
LINK/USD:LINK,10.950000000000001,10.950000000000001
AVAX/USD:AVAX,10.26015,10.950000000000001
SOL/USD:SOL,8.070150000000002,10.950000000000001
DOGE/USD:DOGE,2.02575,2.1900000000000004
SUI/USD:SUI,9.49365,10.950000000000001
NMR/USDT:USDT,-263.59935,21.243000000000002
WLD/USDT:USDT,10.265625000000002,10.950000000000001
ENA/USDT:USDT,4.08435,10.950000000000001
TA/USDT:USDT,29.31315,163.374
M/USDT:USDT,-1460.9928,-1087.116
SAPIEN/USDT:USDT,19.8852,10.950000000000001
DOGE/USDT:USDT,1.987425,2.1900000000000004
ADA/USDT:USDT,9.18705,10.950000000000001
LINK/USDT:USDT,8.74905,10.950000000000001
GPS/USDT:USDT,10.950000000000001,10.950000000000001
PTB/USDT:USDT,-533.3416500000001,10.950000000000001
BMT/USDT:USDT,10.950000000000001,10.950000000000001
PUMPFUN/USDT:USDT,10.950000000000001,10.950000000000001
Q/USDT:USDT,26.345700000000004,33.726
KTA/USDT:USDT,18.9435,-26.280000000000005
FARTCOIN/USDT:USDT,13.380899999999999,44.019000000000005
PEPE/USDT:USDT,9.411525,10.950000000000001
WIF/USDT:USDT,10.78575,10.950000000000001
BLOCK/USDT:USDT,25.425900000000006,43.800000000000004
DOT/USDT:USDT,8.765474999999999,-3.2850000000000006
ALU/USDT:USDT,-1050.4992000000002,-2374.836
PENGU/USDT:USDT,7.577400000000001,10.950000000000001
TAKE/USDT:USDT,25.568250000000003,97.674
ASR/USDT:USDT,-8.541,10.950000000000001
XNY/USDT:USDT,12.6801,52.340999999999994
AVAX/USDT:USDT,8.918775,10.950000000000001
RED/USDT:USDT,-1150.2756,-217.24800000000002
BOOST/USDT:USDT,2.9500588235294107,-43.800000000000004
AAVE/USDT:USDT,4.932975,10.512
IP/USDT:USDT,-87.60000000000001,-87.60000000000001
HEMI/USDT:USDT,10.950000000000001,10.950000000000001
ARB/USDT:USDT,8.141325,10.950000000000001
BNB/USDT:USDT,1.0183499999999999,9.5265
LTC/USDT:USDT,8.174175,7.227
HYPE/USDT:USDT,-7.664999999999999,-7.664999999999999
ONDO/USDT:USDT,8.891399999999999,10.950000000000001
BIO/USDT:USDT,-388.7688,-109.281
TAO/USDT:USDT,10.413450000000001,10.950000000000001
NEIROETH/USDT:USDT,34.853849999999994,52.56000000000001
SAROS/USDT:USDT,-378.8043,-2104.59
MITO/USDT:USDT,-179.10914999999997,10.950000000000001
PYTH/USDT:USDT,-5.069850000000001,10.950000000000001
MERL/USDT:USDT,-2.562299999999999,10.950000000000001
BTR/USDT:USDT,25.6011,10.950000000000001
AGT/USDT:USDT,48.84794999999999,10.950000000000001
APT/USDT:USDT,7.6704750000000015,10.950000000000001
BAS/USDT:USDT,84.01935,134.904
JELLYJELLY/USDT:USDT,61.714200000000005,32.631
SEI/USDT:USDT,8.951625,10.950000000000001
